City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Vytegra,RU,61.0064,36.4481,62.2,96,30,5.88,scattered clouds
210,Narsaq,GL,60.9167,-46.05,57.42,83,44,5.01,scattered clouds
211,Hirara,JP,24.8,125.2833,84.85,77,8,10.67,clear sky
212,Wajima,JP,37.4,136.9,76.48,85,0,3.42,clear sky
213,Bolivar,US,37.6145,-93.4105,102.96,29,12,1.01,few clouds
214,Akureyri,IS,65.6835,-18.0878,55.33,71,75,8.05,broken clouds
215,Kurush,RU,41.2841,47.8345,48.34,64,17,4.12,few clouds
216,Cascais,PT,38.6979,-9.4215,73.26,73,20,23.0,few clouds
217,Madang,PG,-5.2246,145.7966,77.05,91,100,1.28,light rain
218,Cururupu,BR,-1.8283,-44.8683,78.26,79,53,4.43,broken clouds
219,Marsala,IT,37.7966,12.4352,84.94,74,0,3.44,clear sky
220,Micheweni,TZ,-4.9667,39.8333,75.07,79,98,14.25,overcast clouds
221,Zhigansk,RU,66.7697,123.3711,67.3,62,35,2.24,scattered clouds
222,Nishihara,JP,26.1842,127.7558,78.08,94,0,3.44,clear sky
223,Atar,MR,20.5169,-13.0499,88.65,44,52,11.61,moderate rain
224,Lapeer,US,43.0514,-83.3188,82.06,29,40,0.0,scattered clouds
225,Saint George,US,37.1041,-113.5841,90.95,41,0,8.05,clear sky
226,Seoul,KR,37.5683,126.9778,78.4,89,75,4.61,mist
227,Newport,GB,51.5877,-2.9984,64.69,67,83,7.54,broken clouds
228,Vuktyl,RU,63.8567,57.3094,48.54,75,38,4.03,scattered clouds
229,Havelock,US,34.8791,-76.9013,89.58,81,0,18.41,clear sky
230,Istok,XK,42.7808,20.4875,81.48,36,99,5.95,overcast clouds
231,Quatre Cocos,MU,-20.2078,57.7625,69.1,83,21,11.56,light rain
232,Cidreira,BR,-30.1811,-50.2056,61.56,92,34,12.53,scattered clouds
233,Nuuk,GL,64.1835,-51.7216,47.01,81,75,6.91,broken clouds
234,Sungairaya,ID,0.7,108.9,76.8,90,100,5.03,moderate rain
235,Tiksi,RU,71.6872,128.8694,51.89,80,57,1.36,broken clouds
236,Bathsheba,BB,13.2167,-59.5167,86.61,77,20,19.57,few clouds
237,Esperance,AU,-33.8667,121.9,56.79,80,100,5.64,overcast clouds
238,Olafsvik,IS,64.8945,-23.7142,52.5,92,100,16.06,overcast clouds
239,Bucerias,MX,20.75,-105.3333,86.99,74,100,6.91,overcast clouds
240,Howard Springs,AU,-12.497,131.047,69.71,98,68,6.62,broken clouds
241,Lata,PT,40.1629,-8.3327,58.55,86,0,3.36,clear sky
242,Kaitangata,NZ,-46.2817,169.8464,45.82,96,100,13.04,light rain
243,Anqing,CN,30.5092,117.0506,77.86,92,33,3.15,scattered clouds
244,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,10.36,clear sky
245,Rio Gallegos,AR,-51.6226,-69.2181,32.05,69,0,6.91,clear sky
246,Rio Grande,BR,-32.035,-52.0986,68.11,93,67,9.24,broken clouds
247,Parker,US,32.7668,-97.8003,104.85,24,21,1.01,few clouds
248,Reconquista,AR,-29.15,-59.65,77.94,56,38,8.3,scattered clouds
249,Ulundi,ZA,-28.3352,31.4162,51.08,57,0,5.08,clear sky
250,Sayyan,YE,15.1718,44.3244,60.46,72,100,8.61,overcast clouds
251,Todos Santos,MX,23.45,-110.2167,91.31,74,19,8.37,few clouds
252,Coari,BR,-4.085,-63.1414,89.49,50,61,0.45,broken clouds
253,Salalah,OM,17.0151,54.0924,75.29,100,100,6.91,light intensity drizzle
254,Marzuq,YE,14.4,46.4667,77.63,56,97,12.82,light rain
255,Popondetta,PG,-8.7537,148.2534,72.1,92,66,1.48,broken clouds
256,La Palma,US,33.8464,-118.0467,97.95,65,20,9.22,few clouds
257,Belyy Yar,RU,53.6039,91.3903,51.85,100,40,2.24,fog
258,Sulangan,PH,11.1373,123.7228,83.64,73,87,5.28,overcast clouds
259,Victoria,HK,22.2855,114.1577,86.38,77,0,5.99,clear sky
260,Ericeira,PT,38.9627,-9.4156,73.08,80,0,16.02,clear sky
261,College,US,64.8569,-147.8028,59.47,53,75,16.11,broken clouds
262,Sarmanovo,RU,55.2553,52.5891,63.28,88,96,5.97,overcast clouds
263,Hambantota,LK,6.1241,81.1185,78.62,84,96,3.51,overcast clouds
264,San Vicente,AR,-26.6167,-54.1333,68.63,65,5,0.63,clear sky
265,Thinadhoo,MV,0.5333,72.9333,79.29,84,85,22.39,overcast clouds
266,Aklavik,CA,68.2191,-135.0107,65.44,38,100,16.73,overcast clouds
267,Senanga,ZM,-16.1167,23.2667,57.72,40,5,6.55,clear sky
268,Lafia,NG,8.4833,8.5167,75.36,87,47,4.63,scattered clouds
269,Turukhansk,RU,65.8167,87.9833,51.06,88,0,1.83,clear sky
270,Impfondo,CG,1.6381,18.0667,70.38,93,93,2.91,overcast clouds
271,Aksu,CN,41.1231,80.2644,83.8,24,4,1.77,clear sky
272,Nelson Bay,AU,-32.7167,152.15,51.01,75,3,11.99,clear sky
273,Palu,ID,-0.8917,119.8707,75.69,94,100,2.77,overcast clouds
274,Dingle,PH,10.9995,122.6711,76.33,92,67,3.76,broken clouds
275,Berlevag,NO,70.8578,29.0864,62.4,88,0,1.14,clear sky
276,Upernavik,GL,72.7868,-56.1549,38.55,89,88,11.34,overcast clouds
277,Brownfield,US,33.1812,-102.2744,97.95,21,0,13.87,clear sky
278,Leningradskiy,RU,69.3833,178.4167,33.93,98,100,8.37,light snow
279,Dunedin,NZ,-45.8742,170.5036,46.36,96,100,11.12,overcast clouds
280,Toila,EE,59.4236,27.5025,64.2,94,100,9.69,overcast clouds
281,Tigil,RU,57.8,158.6667,57.25,54,96,7.99,overcast clouds
282,Kirksville,US,40.1948,-92.5833,72.82,90,100,4.61,overcast clouds
283,Liuzhou,CN,24.3126,109.3892,78.55,84,6,4.72,clear sky
284,Mailani,IN,28.2833,80.35,80.22,78,69,7.0,broken clouds
285,Madridejos,ES,39.4682,-3.532,83.25,20,0,8.03,clear sky
286,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,77,0,19.57,clear sky
287,Arrecife,ES,28.963,-13.5477,78.78,69,0,24.16,clear sky
288,Graaff-Reinet,ZA,-32.2522,24.5308,59.95,45,34,6.82,scattered clouds
289,Cockburn Town,TC,21.4612,-71.1419,82.65,78,3,18.66,clear sky
290,Kruisfontein,ZA,-34.0033,24.7314,55.89,47,40,7.45,scattered clouds
291,Verkhniy Avzyan,RU,53.5289,57.5372,57.47,95,98,2.42,overcast clouds
292,Kishni,IN,27.0247,79.2634,86.09,66,72,4.99,broken clouds
293,Kununurra,AU,-15.7667,128.7333,73.38,33,15,12.66,few clouds
294,Buala,SB,-8.145,159.5921,80.37,80,90,4.65,light rain
295,Piacabucu,BR,-10.4056,-36.4344,74.37,80,98,12.71,overcast clouds
296,Asau,RO,46.4333,26.4,73.96,73,0,3.06,clear sky
297,Mahbubabad,IN,17.6167,80.0167,75.07,94,100,3.33,overcast clouds
298,Saint-Augustin,CA,51.226,-58.6502,68.02,63,81,18.1,broken clouds
299,Pitimbu,BR,-7.4706,-34.8086,77.59,82,91,12.62,overcast clouds
300,Port Elizabeth,ZA,-33.918,25.5701,58.32,80,0,5.75,clear sky
301,Talaya,RU,61.3833,152.75,58.59,65,100,10.31,light rain
302,Kemijarvi,FI,66.7131,27.4306,61.95,94,100,12.08,overcast clouds
303,Buin,CL,-33.7333,-70.75,62.92,63,61,3.02,broken clouds
304,Camana,PE,-16.6228,-72.7111,62.33,80,63,9.01,broken clouds
305,San Patricio,US,28.017,-97.5169,97.52,39,37,15.46,scattered clouds
306,Kalmunai,LK,7.4167,81.8167,79.88,82,100,3.36,overcast clouds
307,Sambava,MG,-14.2667,50.1667,67.32,89,10,9.91,clear sky
308,Fortuna,US,40.5982,-124.1573,70.93,69,38,10.0,scattered clouds
309,Muravlenko,RU,63.7898,74.523,53.31,71,53,12.44,broken clouds
310,Soure,BR,-0.7167,-48.5233,80.91,77,99,8.48,moderate rain
311,Constitucion,CL,-35.3333,-72.4167,54.7,87,94,8.93,overcast clouds
312,Masindi,UG,1.6744,31.715,67.55,57,97,3.47,overcast clouds
313,Bilibino,RU,68.0546,166.4372,42.17,60,74,10.67,broken clouds
314,Sivas,TR,39.7916,37.0019,52.43,81,0,6.91,clear sky
315,Pachino,IT,36.7186,15.0907,80.92,76,0,6.53,clear sky
316,Neyshabur,IR,36.2133,58.7958,81.07,30,5,5.57,clear sky
317,Otesani,RO,45.0667,24.0333,72.93,47,0,4.94,clear sky
318,Tucuman,AR,-26.8241,-65.2226,80.6,50,75,6.91,broken clouds
319,Broome,US,42.2506,-75.833,80.6,51,20,5.75,few clouds
320,Walvis Bay,NA,-22.9575,14.5053,54.09,82,0,5.75,clear sky
321,Kloulklubed,PW,7.0419,134.2556,73.9,71,100,2.51,overcast clouds
322,Muroto,JP,33.2833,134.15,80.44,85,17,6.71,few clouds
323,Marsa Matruh,EG,31.3525,27.2453,80.8,78,0,9.22,clear sky
324,Whitianga,NZ,-36.8333,175.7,55.24,71,32,19.8,scattered clouds
325,Ponta Delgada,PT,37.7333,-25.6667,78.49,88,75,8.05,light rain
326,Altay,CN,47.8667,88.1167,59.94,46,0,4.05,clear sky
327,Pangnirtung,CA,66.1451,-65.7125,44.6,87,75,6.91,broken clouds
328,Evensk,RU,61.95,159.2333,55.15,77,57,3.71,broken clouds
329,Inuvik,CA,68.3499,-133.7218,63.61,61,100,13.8,overcast clouds
330,Yelizavetino,RU,59.4916,29.7938,64.96,84,100,6.02,overcast clouds
331,San Rafael,AR,-34.6177,-68.3301,48.79,93,100,9.22,mist
332,Zyukayka,RU,58.2025,54.7003,54.68,75,0,6.78,clear sky
333,Lagoa,PT,39.05,-27.9833,73.76,87,32,11.63,scattered clouds
334,Luquillo,PR,18.3725,-65.7166,86.58,77,7,14.54,clear sky
335,Rapid Valley,US,44.0625,-103.1463,77.63,62,0,9.22,clear sky
336,Colares,PT,38.7992,-9.4469,73.08,73,20,23.0,few clouds
337,Anadyr,RU,64.75,177.4833,48.7,81,75,13.42,broken clouds
338,Amapa,BR,1.0,-52.0,75.06,96,84,3.06,very heavy rain
339,Orangeburg,US,33.4918,-80.8557,95.94,55,20,10.36,few clouds
340,Paita,PE,-5.0892,-81.1144,66.99,79,97,17.18,overcast clouds
341,Imbituba,BR,-28.24,-48.6703,66.09,93,0,8.99,clear sky
342,Linhares,BR,-19.3911,-40.0722,69.6,79,27,5.5,scattered clouds
343,Severo-Kurilsk,RU,50.6789,156.125,53.65,83,96,5.88,overcast clouds
344,Beloha,MG,-25.1667,45.05,60.03,81,0,2.21,clear sky
345,Meadow Lake,US,34.8014,-106.5436,89.78,32,11,10.04,few clouds
346,Southbridge,US,42.0751,-72.0334,80.22,60,96,8.37,overcast clouds
347,Harper,LR,4.375,-7.7169,75.25,80,100,8.75,overcast clouds
348,Maceio,BR,-9.6658,-35.7353,74.64,88,100,11.5,mist
